InputStoryid,InputSentence1,InputSentence2,InputSentence3,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
cb054419-731b-4350-96aa-aadfc00e35ae,"Yesterday , Anna decided take nap.",She got comfortable chair and closed eyes.,"Just she fell asleep , daughter puppy jumped lap!",She was very surprised.,"She cuddled adorable puppy , happy see it.",kitten was very cute.,1
a9ca9655-b64d-48c8-96dc-b14a9bc94890,Chuck loves bar house.,He goes there all time friends.,He was way there one day and noticed it was closed.,It had been put business.,Chuck was upset.,Chuck was happy place finally closed down.,1
0194c791-ed9d-480e-8369-5b5975bf2bbb,Steve was sitting cafe.,"cafe , he usually read book.","However , today he forgot book.",He had choice do lot thinking.,Steve completed crossword puzzle record time.,"thinking , Steve came up idea novel.",2
3e6404e3-86cc-436f-9cec-40f6f922cafe,John was driving store when he realized he forgot wallet.,driver license was wallet.,Police lights started flashing him.,pulling over he told officer he forgot wallet home.,John then proceeded assault officer.,officer was understanding.,2
873a9a34-e68a-4971-a397-0ce28140bcba,Tom enjoyed puzzles growing up.,He was not just outside escape room adventure.,He calmed breathing and readied himself mentally.,"Thirty minutes later , he exited escape room record time.",He felt pride accomplishment.,Tom was upset he did poorly.,1
4815c7d1-73db-40cb-b70f-c216c8e8b7a3,Gina was bored cleaning room.,But it had be done.,She decided turn on radio.,There was song she never heard before.,She enjoyed song.,Gina got dressed and left work.,1
27e6ed53-de20-4969-ac97-d1c767e66e8b,small snowstorm came town.,school roof buckled weight.,janitor climbed top inspect.,roof shook new weight.,roof was completely fine.,janitor was frightened.,2
d0b21d6b-1e82-47b2-94c6-3b37b559b58c,birthday was yesterday.,surprise friends planned party me.,I could not believe it.,party was very fun.,I hated birthday.,It was best birthday party ever.,2
0505ab3d-b0a6-403b-83bd-1ff36755c0e5,mother threw out old dictionary.,I retrieved it trash.,"Sitting it , I found myself smelling it.",It reminded me scent old library.,It was gross.,It smelled so good I ate it.,1
c363f775-7fbc-4935-bf85-2608d84a0fba,parents took us Paragon Park 1963.,We took ferry Rowes Wharf Boston.,"We rode carousel , whip , and caterpillar.",We played skeeball.,We have many fond memories childhood trip.,I have memory going Paragon Park.,1
06d18564-6dcd-4154-aa35-a9f326c2db72,favorite movie is Wizard Oz.,I used think it was real when I was young.,"Whenever I watched it , I felt immersed movie.",characters took me away Land Oz.,"One day , I decided buy movie.",I did not like Wizard Oz.,1
2f47e25b-1df6-40e7-86e7-85cf008c7bd4,Mary Ann went walk trail park.,She passed people children and animals.,She passed people jogging and riding bikes.,She saw lot plants.,Mary Ann got rash one them it was poison ivy.,Mary Ann finished making salad and enjoyed eating it.,1
26e62478-4a62-4f71-8449-26edcf3905c0,"One day , dog moved family that had two cats.","One cat did n't mind new dog , but other cat was scared.",He meowed loudly and scratched dog nose.,He leaped one side room other escape dog.,He cuddled up dog.,dog found him and mauled him.,2
a7ac822a-737c-4734-a6a0-05763dedc94b,favorite animal is Arabian Oryx.,I ca n't usually see them it 's African antelope.,I have go zoos.,family bought me nice present birthday year.,They gave me big illustrated book African animals.,They gave me book history computer.,1
ba6be46b-029c-49d7-a56b-f8ec2f6f774a,"Everyday , I nag daughter do homework.",I finally decided it is own responsibility.,"Sure enough , she did n't do it one evening.","I sent her bed anyway , knowing she would get trouble school.",She ended up making bad grade assignment.,She played basketball friends afternoon.,1
970cf7ed-b730-41a8-9675-85790da3004e,young boy wanted pitch baseball team.,He practiced lot brothers.,practice coach let him try out pitcher.,boy did not do well.,young boy went home disappointed.,coach offered boy starting pitcher position.,1
3c9de9fe-20e8-4b46-b795-f474a6cc1ccb,Sue woke up middle night awful smell.,She could not figure out what it was.,She looked room.,Then she noticed saw it.,Sarah began watch tv.,Sarah found spoiled milk desk.,2
43d9d4f7-8542-4e45-ab22-5880462eb2a5,Mark notices teeth are beginning hurt one day.,He decides visit dentist see what is matter.,dentist tells Mark he needs have wisdom teeth removed.,Mark agrees have surgery done.,Mark hoped procedure would stop dental pain.,Mark coworker told him he was n't going vote election.,1
e83f7e0e-0ff6-4546-b154-1c317dfa8526,Lulu had just moved new home.,She had dishwasher first time.,She decided run load dishes night.,"compartment , she poured dish soap.",Lulu turned off dishwasher.,Lulu turned on dishwasher.,2
73f5afd2-f1e4-420c-b536-ac86aed95ca5,Farmer Bill called out cows field.,The came running in food.,Bill poured out grains cows big bins.,cows happily ate dinner.,Bill was proud work.,Bill searched cows.,1
e30c01b0-c968-44bd-8f78-4d1a1ae83ff4,Terry left hospital frustrated and disheartened.,He had trouble opening car door broken thumb.,"home , he asked sister loan him money surgery.",She agreed condition he get job insurance.,"He agreed,",Terry sister decided get surgery thumb.,1
ccc59d4b-1e20-4c63-bbdb-a45cff6bc456,Mary has worked car dealership two Year selling.,boss tells her she needs sell car soon.,One day couple comes dealership and asks see car.,"Mary sells them very big , expensive car.",Mary boss is happy sale.,Mary is sad she sold car.,1
661e7f71-ccc5-4101-a026-32b0ab3c648e,Brie and cat moved in boyfriend and cat.,two cats hated other.,They spent most their hissing other.,"One night , six months later , cats decided cuddle.",Brie was glad they had become friends.,Brie hated cheese.,1
efe9f092-1035-4d33-9527-8959d4f71fd4,Tim needed new kitchen floor.,His was old and cracked.,So he went shopping new tiles.,He found great tiles and brought them home.,He installed beautiful new kitchen floor home.,Tim returned tiles store next day.,1
ff9b9128-31a9-4a2d-8fe2-b53affce964d,Dave decided one day he wanted go see nickelback show.,He ordered few tickets.,He then invited some friends.,"They went show , and had goodtime",Dave checks internet more concerts will like.,Dave took control helicopter and landed field.,1
3f7f71e4-82a7-4ad4-8bb1-4a02e11cb1b9,There is cemetery 199 grave stones.,12 men brought casket.,12 men put casket ground.,Men and women wept together.,They rejoiced sight.,They mourned losses.,2
af7b1f70-856a-4394-92f1-ecc901678956,Joe felt confident going boxing match.,He dominated first four rounds.,He got hit left hook that cut eye fifth.,last seven rounds were back and forth affair.,Joe eventually won fight.,Joe finished fight cuts or injuries.,1
0a17cbf9-397b-4382-9ce0-0fd835626775,nastiest thing happened Jimmy.,He picked up bag potato chips bedroom floor.,"way door , he ate chips.","Outside , friend said , why are there ants crawling bag?",Jimmy felt sick stomach.,Jimmy ate chip bag.,1
d88e0944-c71a-4c76-b100-44e42247fb1d,son participated cub scout toy car derby.,Father and son teams designed small matchbox cars.,teams designed fancy cars.,"We designed simple car , which actually won derby.",son and I did not do well.,son was happy we won.,2
c5c0be96-86bb-43f7-8c71-f1c475cedf65,Brian tried out hockey team year.,Unfortunately he did not make team.,coach said he needed be faster skates.,Brian spent winter working speed skating.,He eventually made team.,He decided not try out team.,1
9971ac70-a358-48f7-bf8e-6c55033d5dfe,Kelly was skiing when suddenly she heard large commotion her.,She looked back and saw wall snow coming her.,She panicked and started skiing faster slope.,avalanche caught up her she quickly jumped trees.,Kelly grabbed tree and hung on tight.,Kelly was able ski uphill avalanche.,1
d32397e1-f5c8-4e0a-923b-b941a169a888,Harry really wanted see new Star Wars movie.,He waited line box office opening day.,He was able buy ticket himself.,He watched entire movie.,Harry was glad he saw movie friends.,Harry really liked movie.,2
942054b7-4c71-441e-ab8a-83e413c79604,Mark was starting new job next day.,He was nervous being around so many strangers.,He barely slept night anxiety.,When he entered building he was greeted warmly many people.,"He was fired same day , and walked building.",He realized he would fit in perfectly new job.,2
4bc45635-2e6f-4bd1-bbfc-c66db6521b7b,Ellen had baby daughter who slept crib own room.,"One morning Ellen did not hear baby fussing , so she went check.",daughter was not moving or breathing!,Ellen called police terrible panic.,Ellen was horribly afraid.,Ellen felt really calm.,1
0c555fc3-d387-49b2-80a5-6c02ca258565,Pearl collected CDs ugly cover art.,She prized jazz CD two dolphins photoshopped together.,sister stole CD angry her.,Pearl heart sank and she implored sister return it.,Pearl sister hoped please her.,Pearl sister was seeking revenge.,2
063223d1-69ca-4296-baa6-295672e57351,Anna went beach.,"tide drew out , and she saw tide pool.","She went inspect it , and she was amazed all life it.","There were fish , sea urchins , starfish - it was incredible!",Anna watched sea life and thought wonder nature.,Anna felt disappointed trip shore.,1
1375cd8a-0967-465e-b190-b445d9f76bf5,Brianna complained bitterly when family went camping.,It would ruin hair and nails and there was tv.,"However , she forgot things when she tasted first S'MORE.","Munching treat , she gazed huge , starry sky awe.",Brianna hated s'mores.,Brianna loved s'mores.,2
beb8a610-250a-4f87-98ec-0bd59bbd472e,Shay was hiking woods.,Then she realized she was lost!,She tried not panic.,She retraced steps she found way back camp.,Shay was finally found weeks later woods.,Shay felt overwhelming relief.,2
fc29e5b6-8c96-4775-ade3-b71506c02c75,Troy was best player basketball team.,team was playing championship game tonight.,Troy scored 56 points win game team.,He carried huge trophy game.,He decided perhaps basketball was not him.,next morning he found he 'd made front page paper.,2
7be7a3f9-49c3-4a62-8f7d-13c95a530452,Simon got food poisoning.,He thought back all restaurants he 's recently visited.,He called friends who ate him occasions.,One friends informed him he was also sick food poisoning.,They figured out restaurant it was.,They went back eat same restaurant.,1
6bf5185c-501a-449b-bc7b-c096f66c18d7,Arnold was scared birds.,One day he was picnic.,bird was flying distance.,It landed food.,Arnold was calm and happy see bird.,Arnold screamed terror!,2
69314f3e-4366-404e-9e5b-65fbfb36a2a5,One day Adam bought two BB guns.,"He gave one son , Christian.",Christian wanted play guns house.,Christian shot gun and broke screen television.,Adam took gun away Christian.,Adam was very proud Christian.,1
3d4aa8d1-9c33-47db-91d8-91982635e8d3,Kip was disappointed there was n't snow.,He whined parents it just was n't Christmas it.,They told him go bed.,Kip stomped way room and eventually fell asleep.,cheer him up Kip parents took him Florida.,Kip dreamed snowflakes.,2
7ab5d7b2-f587-433f-b9b0-79a841cf0753,Ben has always wanted learn how play piano.,"Now children are grown up , he has more spare time.",Ben enrolls piano class local tutor.,"it is difficult , he is dedicated learning.",He gives up it 's too hard.,He gets better lesson.,2
5a4e4ff0-d972-4991-8f91-bcf4dae1288e,Benson was bullied school boy.,Benson began losing sleep it.,He finally told teachers school it.,teachers approached bully problem.,They praised him.,bully was expelled.,2
2d1c5e85-93b9-41a6-8c0f-f8e6035fe78e,father and I were making space plants backyard.,We dug several minutes trying make room.,I found box that was buried ground.,"When I looked inside , there was dead animal.",I put box back and found place dig.,I was so happy.,1
069fe406-47af-4c57-ae9c-2ffea2a0f7ee,"Karen had gone away school , leaving partner Sam.","Sam was missing Karen , but he had plan fix that.","long weekend , Sam took train upstate go visit Karen.","Karen who was missing Sam , had plan fix it as well.","She traveled home see Sam , and they missed other!","She broke up Sam , leaving him heartbroken.",1
efd324dd-68fd-4a7a-a860-8939f7f1e4c0,Joey was camping friends.,He wanted start fire roast marshmallows.,He found sticks and logs woods.,He used match light logs.,Joey hated camping.,Then he roasted marshmallows.,2
0f277b11-2ac7-4769-b857-6055461ec558,Diana cleans offices buildings living.,She washes toilets and scrubs floors.,Friday she was really sick and nauseous work.,She could n't take day off.,She ate huge lunch.,She threw up toilet.,2
1d846682-2dd7-422a-b77f-975ca683ed88,Jason best friend is getting married India next year.,Jason decides he wants learn Hindi wedding.,He hires tutor and practices speaking Hindi day.,"When wedding day arrives , Jason is fluent Hindi!",Everyone was impressed Jason had become bilingual.,Jason best friend was not impressed.,1
dce8a563-9c78-4ace-8ca1-3e1b6fd2b1b6,Todd and Ashley were dating.,Todd got irritated Ashley.,He gave her silent treatment.,Ashley got upset.,She was mad Todd would n't stop talking.,She decided not speak Todd either.,2
5df54bbd-457e-4c76-be01-e6ece9d8a254,friends and I got invited party college.,We got all dressed up exciting event.,We were so excited have fun!,"party , we danced whole time.",We hate parties.,We had great time!,2
99d2fd49-f52a-4c24-89c7-3b346f4c5169,Kelly and friends decided have baking party.,girls decided bake cookies.,They baked chocolate and oatmeal cookies.,they were done they wrapped them bags.,They handed them around all neighbors.,They gave all hamburgers passerby.,1
cf7775ef-c8ba-4ed9-8599-3dbadf7621b7,Girls are lot trouble.,Sometimes they say things they do not mean.,Last one I talked lied me.,She told me she was rich.,She ended up being very poor.,This proves girls tell truth all time.,1
0c375b3e-3b7c-4bd0-acdc-7d4e71b8dbf8,It was very cold day.,snow was coming down very hard many hours.,people Lansing were stuck homes power.,storm brought three feet snow city.,School stayed open longer usual.,School was cancelled.,2
c56e19f8-ebcb-4986-b474-ddd42dbbdfee,Larry was playing golf father.,Larry was feeling really energetic coffee earlier.,He hit ball as hard he could first swing.,Larry got hole one!,Larry was mad score.,Larry was excited have scored first hole one.,2
6e85099b-6686-4fca-a81a-bbf17f40c09e,Candy woke up excited it was birthday.,But whole day went by and one gave her gifts.,She began feel depressed and thought everyone had forgotten.,"Later , she got hungry and headed kitchen , but stopped.",She did n't want binge eat depression.,She is very happy one gave gifts.,1
103b8bac-e6b4-4682-a040-5090410685d1,"Recently , I became very unhappy job.",I decided look around new one I would be happy.,I applied many different places.,One place called me back and I went interview.,I decided go run.,I went interview and was happy get job.,2
930c9d40-894e-49ec-ab5e-e99632fc7136,Lindsey really wanted new pair shoes.,shoes were very expensive.,She decided save up money.,"several weeks , she could get shoes.",She spent money going out eat.,She bought and enjoyed shoes.,2
bf5a0b2e-43fa-4e0d-957f-7beff5009909,Ora had been dared not shower order join sorority.,She could n't imagine going clean water week!,Then she thought loophole.,They had n't said Ora could n't take bath!,Ora took bath.,Ora took shower.,1
5830252c-4cd8-4df2-a3d2-ffc46a1391cd,Allison 25th birthday family took her bingo.,She had never played before and was nervous.,they showed her how play she was excited begin.,fourth game she got bingo.,Allison plans pay bingo again future.,Allison thinks bingo is boring.,1
261f4708-683f-4aba-8fa5-5b267ebeef0c,Nya wanted see parade downtown.,She caught three buses.,Then she took subway.,She made it downtown just time.,Nya missed parade altogether.,Nya was excited be able watch parade.,2
9ac3e4b0-0a7a-4dd2-ad10-7d8a7bc8edb6,Madeline was thrilled get new purse Saks.,mother took her bag department.,Madeline immediately saw pink bag she loved.,She could not believe how amazing it was.,Madeline was upset new purchase.,Madeline mother happily bought bag her.,2
1d503d1e-84cf-4461-86f0-948a27c9330c,Tom bought new plant.,He kept it bed.,plant stopped growing.,mother said it needed sunlight.,So Tom moved plant window.,Tom closed windows block out as much sunlight possible.,1
148092ae-3c1b-449f-9901-8057f5dd76c3,Yu Darvish is pitcher Texas Rangers.,last two seasons he has been injured.,"According reports , he is finally healthy and able play.",Ranger fans are hopeful he will be leader pitchers.,Ranger fans want him go away.,Ranger fans are looking forward return.,2
aacd1de8-0707-4870-a2b8-2fb9fa0b484c,Avery received homework assignment due two weeks.,She immediately read task.,She made schedule and broke it up tasks day.,She completed tasks scheduled day.,Avery dropped school.,Avery finished project early.,2
42736ec0-16cb-4e19-9404-d48ca24d08f2,Chester decides go mall one afternoon.,"He does not intend buying anything , but just wants walk around.","However , he sees very nice shirt sale.",Chester buys shirt price is so good.,Chester immediately threw out shirt he bought.,Chester was very pleased shirt he bought.,2
5e7c3657-d66c-4d1a-aba3-8ce8fb109538,Gina realized she needed get work report.,She had wasted whole day and only had one left complete it.,She sat down and began work.,mother wanted her wash dishes.,Gina wished she had n't wasted day.,Gina was glad she had wasted day.,1
7abd6e73-645c-4ab4-a63d-2a232eea4d1d,Tuesdays are laundry days apartment.,We have been too busy last couple Tuesdays.,Now we have almost clean clothes left.,I 'm dressed foolishly and still smell bad.,clothes smell great.,I will do laundry right now.,2
e4724aa4-c974-43b9-902b-9e0a50e21465,It was beautiful summer day outside.,Bob decided go walk park.,Bob walked path and admired scenery.,He found twenty dollar bill ground.,He was happy.,He was disappointed.,1
6e61a007-5fa7-4275-b45c-9a2d7a8ad2a8,Meghan and Scott wanted see favorite band play concert.,Tickets went sale online and server was very busy.,Meghan and Scott were trying hard buy tickets.,"Just when concert was almost sold out , Meghan found two tickets.",They were so relieved.,They were disappointed.,1
1bbba135-3f42-4f1b-9bb4-6fcc69df64f0,"John had just graduated high school , and was about go college.","mom helped him pack all stuff , and he drove away.","When he got there , he went check out dorm.","new roommate was there , and they hit it off.",They walked around campus and got invited party.,He thought college was going be miserable.,1
50e7e0b7-5c28-462d-8bd6-3bdfecf1f40f,Jackie had been long distance runner many Year.,"very full iPod , she became bored music.",One running friends recommended audible book.,She loaded new release iPod.,She listened book she ran.,She was glad she is never bored music.,1
0edacb01-c9c8-4f8e-bf3f-f43518f03213,Ari friends dared her spend night local haunted house.,Ari tentatively agreed.,She climbed in house window.,Then she snuggled up blanket corner.,She lasted whole night.,She turned on stove and made herself dinner.,1
106fb699-7469-4d23-a582-29d7ae7b2898,Sam drove around high beams on.,One headlights was out and he thought it was safer.,He was pulled over last night.,cop gave him ticket and told him fix it.,Sam had car.,Sam was unhappy.,2
424f971e-837d-4cae-a7cb-80d6aea40b1a,"One night , group friends decided play Ouija board.","It was fun , and they played hour.","playing , they laid down bed.","Minutes later , they heard strange banging sound floor.",They slept soundly that.,They all freaked out naturally.,2
9fdef8c0-2910-4eb7-8f79-979dea4b7aa1,Jan was tired winter and cold weather.,She saw commercial advertising car that would be great trip.,She bought car and planned trip map.,She drove all state Florida.,Winter is season that sees most skiers.,time she got home it had become warmer spring.,2
c761de18-82df-47ad-a7ba-1e97533a2406,Neil had just arrived Iran.,He was enthralled cities and countryside.,He thought mountains were so beautiful.,language and people were wonderful too.,He was happy be Iran.,"He left immediately .,",1
1ee61f07-0a66-4d41-86a8-26a30660d3f7,Andrew had been single many Year.,he wanted girlfriend he did not know how approach anyone.,Finally friend introduced Andrew nice young lady.,Andrew asked her out date.,girl said Andrew.,girl cried hysterically.,1
b90a2af2-8141-466c-bce3-d0b8c599cfc1,Amy was running late flight.,She hurried airport security.,She could hear name speaker gate.,She ran top speed and greeted annoyed stewardess.,Amy then left airplane and drove home.,She boarded flight just time.,2
69f8d644-d67d-4241-aed3-755842090ce4,Ana was tanning beach.,She dozed off warm sun.,She woke three hours later.,eyes widened she looked mirror.,Ana was extremely pale.,Ana was extremely sunburnt.,2
1a4ca91d-6bae-4a04-b605-b9a645099621,Paul felt brave he tried join Army.,Army said he was too weak join.,Paul was undeterred he then tried join Navy.,Navy refused him Paul could n't swim.,Paul was very frustrated.,Paul was very pleased results.,1
419324ac-9daa-4b86-ac21-482b3bcef5ca,cat chased mouse empty warehouse.,"Running fear , rodent moved as fast it could.",larger feline stayed close behind.,It was terrified.,mouse got away.,cat decided lay down and take nap.,1
3ab12b02-0972-4e68-98a2-72bcab9257a8,Neil flew Russia.,"There , he visited tourist sites and saw friendly locals.",He found Russia was colorful and vibrant.,It also had great and rich history.,Neil found trip stimulating.,Neil found trip dull.,1
043877dc-d64a-4868-9600-72d27c0f8aca,Mary makes candles.,She enjoys this hobby.,Mary took one friend gift.,Everyone loved candles and asked buy one.,Mary was very happy.,Mary felt unappreciated.,1
091644b8-fd23-4acf-a3b4-e244669f7f45,It was summer and Gina and sister were bored.,They decided watch music videos.,There was music video channel or black entertainment channel.,They chose watch black entertainment channel.,Gina and sister had great time together.,Gina disliked spending time sister.,1
c00cac38-57df-49de-95fa-bdf5e94f52ea,I was really excited I was going beach.,I made sure pack everything up car.,I drove there and put on swim trunks.,"When I came dressing room , it started rain.",I went swim and enjoy sunshine.,"plans were ruined , and I went home.",2
0d70ad27-5468-4aa8-b375-c0a273f73bab,Arnold was scared cats.,He thinks all them are creepy.,One day he visited girlfriend house.,girlfriend has cat.,Arnold loved girlfriend cats.,Arnold dumped girlfriend.,2
add7d561-802c-4697-8280-484420ad3d80,Leah is full time college student who wants part time job.,Leah searches craigslist and finds entry level position.,Leah applies and next day get call interview.,Leah goes interview and does really well.,Leah gets fired.,Leah gets job.,2
faa0ece8-fe5c-4821-8ba3-3bcef71492c8,Yesterday I went toys r us.,I had get gifts cousins.,I loaded cart up.,Thankfully I found out they had sale.,I bought mouse they had.,I 'm cheapskate it suited me well.,2
4615d59f-be35-4bb8-8990-988e2f16ade7,Bob was driving Texas Florida.,He refused stop hotels break.,"fifteen hours driving , he was tired.",He began fall asleep.,Bob felt very energized.,Bob decided stay nearby hotel night.,2
f5e38006-7951-497d-812b-a272e2ba5780,I got concert tickets.,I drove Chicago.,I could not believe I was seeing Beatle.,I was 30 rows front stage.,I cheered when Beatle came spotlight.,I began tremble uncontrollably terror and dread.,1
7533818a-ba94-4a1b-8742-2b613d0d202c,Maggie noticed bat was flying ceiling.,She panicked and did n't know what do.,She decided hide room and call exterminator.,"Suddenly , cat comes room holding something mouth.",Maggie cat was dead.,It was bat.,2
5828f905-bd2a-4c27-9c05-7f6a6e16fe0d,It was summer.,And Jeff room was very hot.,He saw dark blinds advertised block heat.,And he thought it would make noticeable difference.,Joe liked how blinds let warmth and light.,Joe was pleased when he put up new blinds.,2
6b1c8d84-ad44-4247-ab03-dcf4c6bbbc82,Joey uncle showed him marble.,He teased Joey and said it was glass eye.,"Later , Joey played marbles friends.",One boy said marble was cat eye.,Joey knew everybody was just teasing him.,Joey took baseball and went home.,1
dc9d04fd-6fd5-4062-a4b5-41fe6df51f1e,"Around 11 am , school fire alarm went off.","Rushing door , students stopped when gunshots rang out.",Then teacher instructed them hide desks.,"Diving desks , students were petrified.",They waited incident was over.,They then played heads thumbs up.,1
c82c141a-27e9-4a5f-9b3e-c1ae1f33ace5,Jeffries remote ran batteries.,It stopped working completely.,He needed replace them.,So he went store buy more.,He made sure buy rechargeable batteries time.,He made sure all bills were paid time.,1
603fff0a-05d0-48f5-84c1-550fc754256b,I 've always wanted be able bike thirty miles one time.,Right now I can only bike about twenty miles once.,I got myself biking trainer who helped me make progress.,I worked hard few months and ate all right foods.,Now I can bike 30 miles.,I am so shape I ca n't even bike mile.,1
f934d116-c42c-4ec4-9b6c-d910999099c2,"family has always loved camping , me not so much.",summer I was 19 was last time I camped.,First car broke down and we were stranded heat hours.,"I burned hand cooking dinner , fell lake and eaten bugs.",That was best trip life.,I decided never go camping again.,2
e29bc99e-a7be-45bc-a36a-bf68c6ff5797,professor assigned class essay.,"time I left classroom , I had forgotten it.","few days later , classmate messaged me ask I had done it.",I was so upset I had totally forgotten!,I was worried grade.,I was sure I would get A I did n't turn in essay.,1
64f920dc-a877-4397-9b07-f144432fa0ca,Sally believes boss is trying fire her.,She stays late make sure work is correct.,Sally is still edge.,She decides set up meeting boss.,Sally hopes lose job.,Sally hopes boss will keep her.,2
7fa74ecd-3feb-4205-b2a4-d173f8b0c2bf,We decided we would learn make candy.,We checked out book subject and read up.,"Then , we set work trying.",We realized greatly overestimated how hard it was make candy.,We found we made mess kitchen.,We decided sell candy local boutique.,1
88670c09-ace5-49cb-960d-3eb7ddaf950e,"Will was very wild kindergarten , and did not listen teacher.",father was very upset him.,"He pointed school janitor , and told Will that was future.",Will did not want clean up school bathrooms.,Will started listen teacher.,Will wanted be janitor.,1
ca7ffb91-a043-4ab6-adcf-d43917f8e882,Emily was very nervous get shots doctor office.,She hid table and cried.,"When nurse gave her shot , Emily reached out and hit her.",Emily and nurse were surprised and pain.,Emily was reprimanded parents.,Emily parents cheered her on.,1
4eec9565-76b4-4dc4-91df-479c71dcef70,friends and I were playing outside.,We wanted play new game.,We decided play street hockey we were n't familiar it.,We went outside and got out gear.,We enthusiastically played game it got dark.,We put gear away and went separate ways.,1
14791a39-5879-4cc8-91ef-ce366e93bdc6,"One day , computer mouse stopped working.",I went store buy new one.,mouse I found was too expensive.,I went home and decided try and fix mouse.,I was successful.,I decided quit using computer.,1
d6c07fc5-9379-427c-8db3-d1e216c61829,Samantha was driving class.,She noticed she forgot textbook home.,She drove back home order get it.,She arrived class 25 minutes late.,She was first person arrive.,I was better her be late be unprepared.,2
1759a271-0642-4f98-9330-4b577776b818,It was first time skiing and I was not doing well.,I skied directly path skier.,We collided and both fell ground.,other skier told me name was Jack and it was nice meet me.,I thought Jack was very polite.,I thought Jack was very rude.,1
a711473b-b049-4d72-b54a-0f545f3a790f,Gabe needed desk room.,But he did n't have lot money.,He found plywood garage.,So he made desk it.,Gabe decided purchase desk room.,He polished wood he built desk.,2
f17937ef-0251-4a80-a0c5-e6779805c21e,Rick told friends he hated camping.,They bugged him he went camping anyway.,"One night , he awoke snake tent.",He ran screaming tent.,Rick refuses even think going camping now.,Rick petted snake happily.,1
dcc66657-38b2-4f66-88de-8edfab3399d5,Jerry wanted start new career.,He searched classified ads job postings.,He found desirable posting one ads.,He emailed resume recruiter.,Jerry decided later it was easier collect unemployment.,Then recruiter set up interview Jerry.,2
d18c71ac-cd73-44a3-8e2f-0bfa247ba70b,Emile wanted be great chef.,He took lessons and worked hard learning how cook.,He practiced cooking and served food friends.,friends loved cooking and encouraged him.,Emile eventually got job chef.,Emile stopped talking friends.,1
09cfb3d6-387a-4eaf-9250-90bb2cb1f7dc,Ella had packed picnic family.,But she had forgotten bring forks!,They had way eat chicken and watermelon.,Then they started laugh and eat hands.,Ella was happy picnic was n't ruined.,Ella family was mad her rest day.,1
8b7ab48c-435b-49f3-926d-74cd9a50fa41,Emily woke up early get ready school last Monday.,"she got dressed , she checked see school was canceled.",It had snowed so much school was cancelled.,Emily was happy and decided stay inside and read day off.,She caught hypothermia.,She finished latest book.,2
25b6b0b1-7f4b-48f0-8702-deddb1c192e1,Joline went nail salon get manicure.,nail technician cleaned and trimmed nails.,Joline could not decide color nail polish she would like.,nail technician suggested design that used multiple colors.,She let technician change oil.,Joline decide take technician advice.,2
ffcd78ff-f1c4-416a-b3d7-d4f9fe32c83a,"Harry secretly hated haunted houses , but could n't let friend down.","Faking brave face , the went forth darkened house.",He managed make it way through screaming out loud.,"very end , they fell trick floor bunch goo.",Harry wished he would n't have went.,Harry was so happy be goo.,1
55384f51-96ba-4ce5-91b0-2a5f55e1b028,Bobby wanted be wrestler.,He took wrestling high school.,Then he joined team college.,Soon he was wrestling professionally.,He no longer had interest wrestling.,He retired early injury.,2
7de18c96-2e6d-4316-a853-c696e3d733f9,Joan decided treat herself fancy sushi dinner.,But food was bad and waiter was even worse!,She asked manager but he never bothered come.,"it was her , Joan got so mad she left paying.",Joan felt bad dinner but glad she was assertive.,Joan went restaurant next night.,1
1f677d6f-802f-4b54-8e0e-2f4adc4259f9,Jesse had always wanted get tattoo.,parents were very idea tattoos.,One 18th birthday she decided get one.,She got small tiara tattoo shoulder.,Jesse parents were upset her.,Jesse parents were excited see tattoo.,1
ca30ecd2-9808-4e52-9c0e-4b9e0ffb3f8d,Juliette wanted be scientist when she grew up.,She decided she must perform experiment.,She emptied box baking soda pan.,Then she poured vinegar.,Juliette built volcano.,Juliette was bored.,1
2f595ff8-e86c-4de5-aa27-211501bc5a4d,Jaclyn came over hang out Robs girlfriend.,Jaclyn and Rob do not get along.,Rob tried very nice keep peace and be nice.,Jaclyn kept saying very snide comments andremarks,Rob finally left hang out friends.,Rob was very happy spending time Jaclyn.,1
a2676c5e-becf-477c-9de5-a1356bf7456e,Sharon and sister drove grocery store pick up eggs.,They were going have dinner guests and were baking cake.,way house Sharon tripped and fell.,eggs flew hands and landed concrete.,All eggs landed safely.,Sharon broke all eggs.,2
4e41beaf-5b8f-47c3-a342-1e7ef92c9798,There once was slave trader.,He found god and changed wicked ways.,He wrote song conversion.,song became famous and popular.,Everyone hated slave trader song.,slave trader became very famous and rich song.,2
b0d23a4d-9885-4428-87a5-aef0a58b8928,Ella went out sledding one afternoon.,She had fun first.,Then she slipped off sled.,She cut forehead rock ground.,Ella had be taken doctor.,Ella was unscathed fall.,1
0bb7c691-b1cc-4082-8f25-c56790ace781,Steph usually ate large breakfast.,But new job meant she had less time make food.,So Steph decided eat simpler food and smaller portions.,"And month , she lost 10 pounds.","doctor said she was healthier , too.",She felt complete failure.,1
7ea28324-be74-49bf-9f4e-314c874819c7,Bobby was star football player school.,He would always get recognition talent.,One day he was very important game.,arm was hurt process.,Bobby passed football hours game.,Bobby took time recover injury.,2
