InputStoryid,InputSentence4,RandomFifthSentenceQuiz1,RandomFifthSentenceQuiz2,AnswerRightEnding
fc29e5b6-8c96-4775-ade3-b71506c02c75,He carried a huge trophy after the game.,He decided perhaps basketball was not for him.,The next morning he found he'd made the front page of the paper.,2
7be7a3f9-49c3-4a62-8f7d-13c95a530452,One of his friends informed him he was also sick with food poisoning.,They figured out which restaurant it was.,They went back to eat at the same restaurant.,1
6bf5185c-501a-449b-bc7b-c096f66c18d7,It landed on his food.,Arnold was calm and happy to the see the bird.,Arnold screamed in terror!,2
69314f3e-4366-404e-9e5b-65fbfb36a2a5,Christian shot the gun and broke the screen on the television.,Adam took the gun away from Christian.,Adam was very proud of Christian.,1
3d4aa8d1-9c33-47db-91d8-91982635e8d3,Kip stomped his way to his room and eventually fell asleep.,To cheer him up Kip's parents took him to Florida.,Kip dreamed of snowflakes.,2
7ab5d7b2-f587-433f-b9b0-79a841cf0753,"Although it is difficult, he is dedicated to learning.",He gives up because it's too hard.,He gets better with every lesson.,2
5a4e4ff0-d972-4991-8f91-bcf4dae1288e,The teachers approached the bully about the problem.,They praised him.,The bully was expelled.,2
2d1c5e85-93b9-41a6-8c0f-f8e6035fe78e,"When I looked inside, there was a dead animal.",I put the box back and found another place to dig.,I was so happy.,1
069fe406-47af-4c57-ae9c-2ffea2a0f7ee,"Karen who was missing Sam, had a plan to fix it as well.","She traveled home to see Sam, and they missed each other!","She broke up with Sam, leaving him heartbroken.",1
efd324dd-68fd-4a7a-a860-8939f7f1e4c0,He used a match to light the logs.,Joey hated camping.,Then he roasted marshmallows.,2
0f277b11-2ac7-4769-b857-6055461ec558,She couldn't take the day off.,She ate a huge lunch.,She threw up in the toilet.,2
1d846682-2dd7-422a-b77f-975ca683ed88,"When the wedding day arrives, Jason is fluent in Hindi!",Everyone was impressed that Jason had become bilingual.,Jason's best friend was not impressed.,1
dce8a563-9c78-4ace-8ca1-3e1b6fd2b1b6,Ashley got upset.,She was mad because Todd wouldn't stop talking.,She decided not to speak to Todd either.,2
5df54bbd-457e-4c76-be01-e6ece9d8a254,"At the party, we danced the whole time.",We hate parties.,We had a great time!,2
99d2fd49-f52a-4c24-89c7-3b346f4c5169,After they were done they wrapped them in bags.,They handed them around to all the neighbors.,They gave all the hamburgers to passerby.,1
cf7775ef-c8ba-4ed9-8599-3dbadf7621b7,She told me she was rich.,She ended up being very poor.,This proves girls tell the truth all the time.,1
0c375b3e-3b7c-4bd0-acdc-7d4e71b8dbf8,The storm brought three feet of snow to the city.,School stayed open longer than usual.,School was cancelled.,2
c56e19f8-ebcb-4986-b474-ddd42dbbdfee,Larry got a hole in one!,Larry was mad about his score.,Larry was excited  to have scored his first hole in one.,2
6e85099b-6686-4fca-a81a-bbf17f40c09e,"Later, she got hungry and headed for the kitchen, but stopped.",She didn't want to binge eat out of depression.,She is very happy no one gave her gifts.,1
103b8bac-e6b4-4682-a040-5090410685d1,One place called me back and I went for an interview.,I decided to go for a run.,I went to the interview and was happy to get the job.,2
930c9d40-894e-49ec-ab5e-e99632fc7136,"After several weeks, she could get the shoes.",She spent the money on going out to eat.,She bought and enjoyed the shoes.,2
bf5a0b2e-43fa-4e0d-957f-7beff5009909,They hadn't said Ora couldn't take a bath!,Ora took a bath.,Ora took a shower.,1
5830252c-4cd8-4df2-a3d2-ffc46a1391cd,On the fourth game she got a bingo.,Allison plans to pay bingo again in the future.,Allison thinks bingo is boring.,1
261f4708-683f-4aba-8fa5-5b267ebeef0c,She made it downtown just in time.,Nya missed the parade altogether.,Nya was excited to be able to watch the parade.,2
9ac3e4b0-0a7a-4dd2-ad10-7d8a7bc8edb6,She could not believe how amazing it was.,Madeline was upset with her new purchase.,Madeline's mother happily bought the bag for her.,2
1d503d1e-84cf-4461-86f0-948a27c9330c,His mother said it needed sunlight.,So Tom moved the plant to a window.,Tom closed his windows to block out as much sunlight as possible.,1
148092ae-3c1b-449f-9901-8057f5dd76c3,Ranger fans are hopeful he will be a leader for their pitchers.,Ranger fans want him to go away.,Ranger fans are looking forward to his return.,2
aacd1de8-0707-4870-a2b8-2fb9fa0b484c,She completed the tasks on their scheduled day.,Avery dropped out of school.,Avery finished her project early.,2
42736ec0-16cb-4e19-9404-d48ca24d08f2,Chester buys the shirt because the price is so good.,Chester immediately threw out the shirt he bought.,Chester was very pleased with the shirt he bought.,2
5e7c3657-d66c-4d1a-aba3-8ce8fb109538,Her mother wanted her to wash the dishes.,Gina wished she hadn't wasted her day.,Gina was glad she had wasted her day.,1
7abd6e73-645c-4ab4-a63d-2a232eea4d1d,I'm dressed foolishly and still smell bad.,All my clothes smell great.,I will do laundry right now.,2
e4724aa4-c974-43b9-902b-9e0a50e21465,He found a twenty dollar bill on the ground.,He was happy.,He was disappointed.,1
6e61a007-5fa7-4275-b45c-9a2d7a8ad2a8,"Just when the concert was almost sold out, Meghan found two tickets.",They were so relieved.,They were disappointed.,1
1bbba135-3f42-4f1b-9bb4-6fcc69df64f0,"His new roommate was there, and they hit it off.",They walked around campus and got invited to a party.,He thought college was going to be miserable.,1
50e7e0b7-5c28-462d-8bd6-3bdfecf1f40f,She loaded a new release to her iPod.,She listened to a book while she ran.,She was glad she is never bored of music.,1
0edacb01-c9c8-4f8e-bf3f-f43518f03213,Then she snuggled up with her blanket in the corner.,She lasted the whole night.,She turned on the stove and made herself dinner.,1
106fb699-7469-4d23-a582-29d7ae7b2898,The cop gave him a ticket and told him to fix it.,Sam had no car.,Sam was unhappy.,2
424f971e-837d-4cae-a7cb-80d6aea40b1a,"Minutes later, they heard a strange banging sound on the floor.",They slept soundly after that.,They all freaked out naturally.,2
9fdef8c0-2910-4eb7-8f79-979dea4b7aa1,She drove all over the state of Florida.,Winter is the season that sees the most skiers.,By the time she got home it had become warmer due to spring.,2
c761de18-82df-47ad-a7ba-1e97533a2406,The language and people were wonderful too.,He was happy to be in Iran.,"He left immediately.,",1
1ee61f07-0a66-4d41-86a8-26a30660d3f7,Andrew asked her out on a date.,The girl said yes to Andrew.,The girl cried hysterically.,1
b90a2af2-8141-466c-bce3-d0b8c599cfc1,She ran top speed and greeted annoyed stewardess.,Amy then left the airplane and drove home.,She boarded her flight just in time.,2
69f8d644-d67d-4241-aed3-755842090ce4,Her eyes widened as she looked in the mirror.,Ana was extremely pale.,Ana was extremely sunburnt.,2
1a4ca91d-6bae-4a04-b605-b9a645099621,The Navy refused him because Paul couldn't swim.,Paul was very frustrated.,Paul was very pleased with his results.,1
419324ac-9daa-4b86-ac21-482b3bcef5ca,It was terrified.,The mouse got away.,The cat decided to lay down and take a nap.,1
3ab12b02-0972-4e68-98a2-72bcab9257a8,It also had a great and rich history.,Neil found the trip stimulating.,Neil found the trip dull.,1
043877dc-d64a-4868-9600-72d27c0f8aca,Everyone loved the candles and asked to buy one.,Mary was very happy.,Mary felt unappreciated.,1
091644b8-fd23-4acf-a3b4-e244669f7f45,They chose to watch the black entertainment channel.,Gina and her sister had a great time together.,Gina disliked spending time with her sister.,1
c00cac38-57df-49de-95fa-bdf5e94f52ea,"When I came out of the dressing room, it started to rain.",I went to swim and enjoy the sunshine.,"My plans were ruined, and I went home.",2
0d70ad27-5468-4aa8-b375-c0a273f73bab,His girlfriend has a cat.,Arnold loved his girlfriend's cats.,Arnold dumped his girlfriend.,2
add7d561-802c-4697-8280-484420ad3d80,Leah goes to the interview and does really well.,Leah gets fired.,Leah gets the job.,2
faa0ece8-fe5c-4821-8ba3-3bcef71492c8,Thankfully I found out they had a sale.,I bought every mouse they had.,Because I'm a cheapskate it suited me well.,2
4615d59f-be35-4bb8-8990-988e2f16ade7,He began to fall asleep.,Bob felt very energized.,Bob decided to stay at a nearby hotel for the night.,2
f5e38006-7951-497d-812b-a272e2ba5780,I was 30 rows from the front of the stage.,I cheered when the Beatle came under the spotlight.,I began to tremble uncontrollably with terror and dread.,1
7533818a-ba94-4a1b-8742-2b613d0d202c,"Suddenly, her cat comes in her room holding something in his mouth.",Maggie's cat was dead.,It was the bat.,2
5828f905-bd2a-4c27-9c05-7f6a6e16fe0d,And he thought it would make a noticeable difference.,Joe liked how the blinds let in the warmth and light.,Joe was pleased when he put up the new blinds.,2
6b1c8d84-ad44-4247-ab03-dcf4c6bbbc82,One boy said his marble was a cat's eye.,Joey knew everybody was just teasing him.,Joey took his baseball and went home.,1
dc9d04fd-6fd5-4062-a4b5-41fe6df51f1e,"Diving under their desks, the students were petrified.",They waited until the incident was over.,They then played heads down thumbs up.,1
c82c141a-27e9-4a5f-9b3e-c1ae1f33ace5,So he went to the store to buy some more.,He made sure to buy rechargeable batteries this time.,He made sure all of his bills were paid on time.,1
603fff0a-05d0-48f5-84c1-550fc754256b,I worked hard for a few months and ate all the right foods.,Now I can bike 30 miles.,I am so out of shape I can't even bike a mile.,1
f934d116-c42c-4ec4-9b6c-d910999099c2,"I burned my hand cooking dinner, fell in the lake and eaten by bugs.",That was the best trip of my life.,I decided never to go camping again.,2
e29bc99e-a7be-45bc-a36a-bf68c6ff5797,I was so upset because I had totally forgotten!,I was worried about my grade.,I was sure I would get an A if I didn't turn in my essay.,1
64f920dc-a877-4397-9b07-f144432fa0ca,She decides to set up a meeting with her boss.,Sally hopes to lose her job.,Sally hopes her boss will keep her.,2
7fa74ecd-3feb-4205-b2a4-d173f8b0c2bf,We realized greatly overestimated how hard it was to make candy.,We found we made a mess in the kitchen.,We decided to sell our candy to a local boutique.,1
88670c09-ace5-49cb-960d-3eb7ddaf950e,Will did not want to clean up the school bathrooms.,Will started to listen to his teacher.,Will wanted to be a janitor.,1
ca7ffb91-a043-4ab6-adcf-d43917f8e882,Both Emily and the nurse were surprised and in pain.,Emily was reprimanded by her parents.,Emily's parents cheered her on.,1
4eec9565-76b4-4dc4-91df-479c71dcef70,We went outside and got out gear.,We enthusiastically played the game till it got dark.,We put the gear away and went our separate ways.,1
14791a39-5879-4cc8-91ef-ce366e93bdc6,I went home and decided to try and fix my mouse.,I was successful.,I decided to quit using the computer.,1
d6c07fc5-9379-427c-8db3-d1e216c61829,She arrived in class 25 minutes late.,She was the first person to arrive.,I was better for her to be late than to be unprepared.,2
1759a271-0642-4f98-9330-4b577776b818,The other skier told me his name was Jack and it was nice to meet me.,I thought Jack was very polite.,I thought Jack was very rude.,1
a711473b-b049-4d72-b54a-0f545f3a790f,So he made a desk out of it.,Gabe decided to purchase a desk for his room.,He polished the wood after he built the desk.,2
f17937ef-0251-4a80-a0c5-e6779805c21e,He ran screaming from the tent.,Rick refuses to even think about going camping now.,Rick petted the snake happily.,1
dcc66657-38b2-4f66-88de-8edfab3399d5,He emailed his resume to the recruiter.,Jerry decided later it was easier to collect unemployment.,Then recruiter set up an interview for Jerry.,2
d18c71ac-cd73-44a3-8e2f-0bfa247ba70b,His friends loved his cooking and encouraged him.,Emile eventually got a job as a chef.,Emile stopped talking to his friends.,1
09cfb3d6-387a-4eaf-9250-90bb2cb1f7dc,Then they all started to laugh and eat with their hands.,Ella was happy that the picnic wasn't ruined.,Ella's family was mad at her the rest of the day.,1
8b7ab48c-435b-49f3-926d-74cd9a50fa41,Emily was happy and decided to stay inside and read on her day off.,She caught hypothermia.,She finished her latest book.,2
25b6b0b1-7f4b-48f0-8702-deddb1c192e1,The nail technician suggested a design that used multiple colors.,She let the technician change her oil.,Joline decide to take the technician's advice.,2
ffcd78ff-f1c4-416a-b3d7-d4f9fe32c83a,"At the very end, they fell through a trick floor into a bunch of goo.",Harry wished he wouldn't have went.,Harry was so happy to be in the goo.,1
55384f51-96ba-4ce5-91b0-2a5f55e1b028,Soon he was wrestling professionally.,He no longer had any interest in wrestling.,He retired early due to injury.,2
7de18c96-2e6d-4316-a853-c696e3d733f9,"Although it was unlike her, Joan got so mad she left without paying.",Joan felt bad about the dinner but glad she was assertive.,Joan went to the restaurant the next night.,1
1f677d6f-802f-4b54-8e0e-2f4adc4259f9,She got a small tiara tattoo on her shoulder.,Jesse's parents were upset with her.,Jesse's parents were excited to see the tattoo.,1
ca30ecd2-9808-4e52-9c0e-4b9e0ffb3f8d,Then she poured in vinegar.,Juliette built a volcano.,Juliette was bored.,1
2f595ff8-e86c-4de5-aa27-211501bc5a4d,Jaclyn kept saying very snide comments and remarks,Rob finally left to hang out with his friends.,Rob was very happy about spending time with Jaclyn.,1
a2676c5e-becf-477c-9de5-a1356bf7456e,The eggs flew out of her hands and landed on the concrete.,All of the eggs landed safely.,Sharon broke all of the eggs.,2
4e41beaf-5b8f-47c3-a342-1e7ef92c9798,That song became famous and popular.,Everyone hated the slave trader's song.,The slave trader became very famous and rich from his song.,2
b0d23a4d-9885-4428-87a5-aef0a58b8928,She cut her forehead on a rock in the ground.,Ella had to be taken to the doctor.,Ella was unscathed from the fall.,1
0bb7c691-b1cc-4082-8f25-c56790ace781,"And in a month, she lost 10 pounds.","Her doctor said she was healthier, too.",She felt like a complete failure.,1
7ea28324-be74-49bf-9f4e-314c874819c7,His arm was hurt in the process.,Bobby passed the football for hours after the game.,Bobby took time to recover from the injury.,2
2ae5e008-8777-465c-8cbc-7b42db210ea5,Susan had to wait in the lobby while her friends finished the movie.,Susan was upset with the whole ordeal.,Susan was very happy with the experience.,1
ff8e9ac7-0619-45d1-b827-7ff4275e399b,Desi took good care of the plant.,The cactus flourished under his care.,The goldfish were very happy and healthy.,1
b155c21e-4c58-430c-9053-3e4f5d896145,When she arrived it was dark out.,Gina went straight to bed.,Gina decided that it wasn't late enough and went back outside.,1
c1984cf8-6fc1-43c0-929b-c6d713c41ffb,Avery played well with his teammates and even scored some points!,Avery's parents were proud.,Avery's parents were ashamed of him.,1
978b1dfc-732f-4856-9a14-05011f2a4855,Tom decided to plant some orchids.,The orchids would be ugly.,The orchids would be beautiful.,2
811ef3dd-2646-4008-967e-009049c2624a,But then he got on one knee.,And asked her to marry him.,And he started laughing hysterically.,1
0e1cae86-3c60-4150-b34a-f306fa9fa1e3,He drank and danced with his friends all night.,Tommy had good friends.,Tommy had bad friends.,1
e5d75f5b-9c53-4698-a49a-4559715831e3,We then seen a fresh tooth popping through her gum line.,We went to a dentist who pulled the tooth.,We had a week of hell as her tooth came in.,2
215b8a85-692e-4d23-a29f-c9077d9bae51,She loved every moment of it.,Amelia decided to never go back to Mexico.,Amelia decided to vacation to Mexico more often.,2
4828eea9-7ca1-47c6-9b58-3b52884ac626,One year we found cookie pieces outside in the snow.,We told the kids that Santa must have share with the reindeer.,We told the kids it was thanksgiving.,1
976a11ff-1a3c-4f4f-9b21-3179f2d9cf20,"When she made it to work, she realized her coworker brought breakfast!",She was so grateful and promised to pay her coworker back.,She did not want to eat.,1
ce73399f-5905-4bc1-9ab4-5d12c7039cf2,The computer lab was a great success.,The government continued to fund computer labs.,Kids suffered from the computer labs.,1
7951ad48-6f89-461b-8548-516678c0cb64,I had advantage of the deuce.,I decided to forfeit the game.,I won the match.,2
619efeec-806f-46a5-a8a3-386f517eea5c,He gives the kid advice and things to work on for next season.,The kid practiced all year and next year he made the team.,The kid is very proud of himself.,1
e71d07b3-5647-4fa3-9b90-27ea083b39a0,The dog bit a mother and her baby.,The baby even pet the dog right afterwards.,Officer Dunn was shocked about what his dog had done.,2
de4f8efc-0677-46d9-9c3e-3f392453c78b,"There wasn't a line, it was super quick!",I really liked my new hair cut.,He made the best sandwich in town.,1
952a11be-e6f9-4e0b-9b9d-2b2be66a3a54,"Bored, I drove back home.",I cleaned my motorcycle after I got home.,I changed the wifi password to enhance security.,1
d0ecfef1-dc1f-4c54-820a-04e4c623da1f,"At the end of the day, they left the park and saw Ryan's boss.",Ryan got fired.,Ryan got promoted.,1
629ec1e3-0d93-45bb-a0d9-cb645c89ffe7,He took the exit for the rest stop.,The man stopped at the rest stop and got out of the car.,The man kept driving for a few more hours.,1
1335f94b-5780-4228-8c68-74e56ddd452e,He started groping the ground and inching towards his mom.,Josiah crawled to his mother and took the toy.,Josiah rolled over and played with his feet.,1
19b67b77-cb21-48dc-bde9-87f8670a1538,I went to pick her up.,I brought a dog home since I have so many dogs already.,I drove home with the mini pig in my car.,2
705a69e2-7aeb-4c94-a1fb-2997d11e74ca,Sam was very embarrassed the first day.,All his classmates were very supportive though.,His classmates taught him to overcome his fear of heights.,1
552067ec-e238-4c17-8fd1-e627fa6c0af5,"Matt asked Lexi to be his date, and she immediately said yes.",Matt and Lexi had a great time at prom.,Matt was miserable at the turn of events.,1
d84e663f-3654-4808-a3d2-cff4f40bc5b1,She made a 100.,She was heartbroken.,Shyanne was overjoyed.,2
6318c4bc-e94f-46d1-b8cb-cbf9c8bb2d58,They sent him his free pizza an hour later.,John had carrots instead.,John devoured his pizza.,2
4dd9695b-4735-45fc-aeea-b5f878aef68e,"After his performance, the judges were impressed.","He awaited a call back, but he never heard from the judges again.",He received many awards for his dance performances.,2
0db573d0-dc8e-428b-a483-6e71a11a0b94,We even ran laps around the couch.,Then we collapsed on the couch and slept past noon.,We ran in hopes of improving our speed.,1
120aac36-5d49-4b9e-ba55-7a45495cb786,"To her surprise, there was over $300 in the jar.",Ally used the three hundred dollars to buy clothes.,So she bought a new cell phone.,2
814b5189-cdad-4921-bf6b-6c44a845fae7,"As we were riding along, my bicycle broke in half.",I realized that my bicycle had only been suitable for one rider.,I carelessly threw my used Kleenex in the gutter.,1
1141ae50-0eb4-4d05-8812-f31457d430a2,The house was lit up in spite of the late hour of 4 AM.,They decided to turn around.,They couldn't wait to see grandma!,2
1dcf333e-d6a5-4798-94ce-f1fbf2d3758b,"Over several hours, she washed and dried them.",Ana decided never to wait that long again.,Ana took several hours drying medicinal herbs.,1
28bf468c-50cf-432e-abae-216ba816a399,Mark was then caught by someone working.,The worker thanked Mark for his patronage.,Mark has a court date next week.,2
b9124010-865d-43e8-a341-75280447382f,Like right now talking with you.,I can't wait to to start the paint-by-numbers set!,"But in a moment, I'm going to start the puzzle.",2
c977fd68-7741-448f-be29-f049268652d9,Rex vacuums the floor and makes his bed.,Rex loves cleaning the bathroom.,He feels better about his room.,2
ea067ab3-67d0-4860-a5f4-7ee4492d3f3e,"Ultimately, I was prepared on the exam day.",I aced my exam.,I failed my exam.,1
4bf5477d-ee80-46f2-be77-fb6046020905,They obliged.,Munich looked good in the picture's background.,It was our favorite picture of the vacation.,2
feb5f3a2-3e9b-466c-82b0-931fec45abc7,I found a blue shirt that didn't stink.,I washed the blue shirt.,I wore the blue shirt.,2
71da85fa-e6bb-44e7-82f4-3eae7fb0c2b8,"His mother put him in pajamas, took him to his bed, and sang to him.",He fell asleep.,JJ stayed up all night.,1
46575aae-4a35-497d-ba95-49ea65f47c2e,The men were struck with awe.,One hunter yawned and walked away.,It was then that they knew they were in the right spot.,2
0fd8d108-d8ea-4093-8a35-f51cf70fe5fc,Todd is not sure what to do.,Todd is proud of himself.,Todd decides to study as much as he can before tomorrow.,2
e06719bc-6fdc-44b0-b40d-2892b339ba7b,The girls spent everyday together.,Maggie was happy to have a new companion.,Maggie wanted to be alone.,1
2ce0a18d-0c2f-48bc-b634-73ee52b540f0,The ride seemed much shorter with someone to talk to.,I did not have anyone to talk to though.,"When the ride was over, we parted ways.",2
0a6db8cc-a132-4588-b5d5-2ea500b33c05,After joining she began playing with the girls she met online.,"Eventually, she hated all men.",She felt better playing with a group of nicer people.,2
99acf9ff-e624-4ab4-b904-ec640c20593c,Bobby's favorite activity was riding on the ferris wheel.,Bobby was bored.,Bobby enjoyed the carnival.,2
2e14e301-6d6f-4b67-9d22-a688e80e48b4,I kept listening but it never came up.,I hope to never hear that song again.,So I typed the lyrics into google.,2
f1911438-d757-4798-953e-eee6c5397dc6,"She soon died, and Al was completely devastated.",Al and Val went out to eat.,Al felt even lonelier as time went on.,2
da333c2d-fd57-4270-871d-8dee0045f51b,It costs me a lot of money to get them all off my record.,I wish I had gotten more tickets.,I now drive at a normal speed.,2
c63cf569-80b3-42a2-b42f-cf47598684d5,"On his trip, he eats local food and sees amazing sights.",David learns to play piano.,He has a great time in Oregon.,2
ff38333b-722a-4c39-94b7-5ba1dfc6e556,She got braces and was in a lot of pain.,But it was worth it when she saw her straightened teeth.,She couldn't wait to get her braces tightened each visit.,1
c32c85c1-62a3-461a-88f9-bf8d98c057fc,Then she helped harvest the veggies from the garden.,Jayne ate a delicious meal from the fruits of her labor.,Jayne decided to set fire to the garden and destroy the farm.,1
1c8ba79c-6fc7-4e34-bd66-25a2491688fa,Seth realizes in terror that he needs to find new work.,Seth thinks he can find a job at the air conditioning factory.,Seth thinks it is a good idea to update his resume.,2
9bafd29b-aaf8-47e2-b0d1-b4600723e8f4,They called a tow truck to tow the car home.,Amy then drove to school.,Amy then had to walk to school.,2
add4b967-73e6-428c-8b76-0d35e20d61a4,It caught his apartment on fire.,Rod died in the fire.,Rod was proud of what he had done.,1
f89a91ee-9f17-41cb-925c-5cdf45990be3,He already knew how he would cast his votes.,Barry voted.,Barry turned around and went home.,1
3f8bb608-3238-45ac-a8e7-76c05e3d9172,Johnny had to put on the donut and drive to a repair shop.,Johnny was very happy that he had a flat tire.,They fixed it and Johnny drove home.,2
b5a83206-0f36-4dce-84ae-083105802b6a,Amy visited the apartment to see it in person.,"She moved into a smaller, cheaper apartment.",Amy signed a lease and moved into the apartment.,2
2ba6a29f-c6cb-4be4-8958-3f76ccf6f08e,Before anybody could say anything I licked it.,I got to eat the slice.,I ate a hamburger.,1
14109871-2c9b-499e-8033-c5f2b0d14a1b,"After applying to adopt May and being approved, Cathy adopted May.",May and Cathy got along greatly.,May went outside and Cathy never saw her again.,1
c8a83dec-8666-4241-8637-daf8c5e9c9fd,Monica decided to knit her a scarf.,Monica was pleased to see her friend admire the homemade gift.,Monica knit the scarf to donate to an orphanage.,1
ac6e7c57-bc25-42a7-ac90-05098af8d1df,He calmly walked out of the front of the police station.,The suspect decided to turn himself in.,No one seemed to notice the suspect.,2
1a6f72b0-88e5-47b8-92d9-141200921477,"But, they don't want to hurt their parents feelings so they stay away",But eventually they get together anyway.,The boy and girl's parents are very happy they love each other.,1
77d497cb-8ea6-4fa0-8b07-637f789425c2,"As he left, he shook my hand!",I was thrilled.,I was completely bored.,1
b3bac241-37f2-4426-b0c7-001bd2a882a9,Jake even saw his favorite player during the game!,Jake had a great time at the football game with his dad.,Jake did not have fun that day.,1
60c41b64-a700-4370-8ed7-4061f074d9a1,I found a local lake beach to visit.,I drove to the beach.,I decided to visit Vegas.,1
158c49b6-ef5b-48cf-a353-291d0f7b989e,She produced a paper she was proud of.,Amy started going to school at the coffee shop.,Amy got an A on the paper but in trouble for skipping class.,2
999f3b11-5d26-41bc-a542-e0a6dafba00f,"He cut all the lumber, assembled the desk, and stained it.",Steve's wife was ecstatic about the gift.,Steve's wife filed for divorce that same day.,1
c1e253fc-660a-472a-981a-2cd9992c4d81,Then on his way to the hospital he hits a deer.,I no longer consider golf a sport.,"As if his luck couldn't get any worse, the hospital was closed.",2
1e71748f-a74b-4117-a7cc-4cd49620228b,"One Saturday, his son sat down on the couch and leaned on Jon's arm.",John went to the movies by himself.,Jon loved spending time with the kids.,2
686d0a57-8b7e-460f-972a-65c314ef3999,Ben followed the string to see where it went.,Ben was fascinated by the string.,Ben went for a run.,1
a77d6cba-d46b-4801-bb5c-70fc0b97800d,Eventually he got added to small shows.,Juan decided that being  luchador was a stupid aspiration.,Juan was very successful eventually.,2
6d8ef0c4-7b5f-443b-b9e1-c95bb507a55e,The two discussed baby names for nearly half an hour.,They finally decided on one boy name and one girl name.,Tori had to go to therapy because she was so upset.,1
7114ba39-aebb-45b2-a2b8-4d53647c81ea,The next week a healthy organic juice shop opens.,Sara was then able to stop by and get food.,The food was too unhealthy for Sara.,1
015efb0e-8d0f-4a81-8bb2-c1906451f09f,They realize that they are in the same Chemistry class.,They decide to be lab partners in their class together.,Rufus is happy to have a friend in Geometry class.,1
cd0399d2-96c1-4a2c-a0e4-2361312a0bf8,"Tom didn't understand why, but he didn't care.",He was happy to get the Chemistry set.,He was disappointed to receive the Chemistry set.,1
d08d37fd-9914-44c3-a11f-591565f46a10,Suddenly a big black bird swooped in from out of nowhere.,It ate the territorial hummingbird easily.,I shot the rat and tossed the body into the garbage.,1
3a90aa96-7867-4e9c-82fa-2904543f072c,Her mom decided to craft the hoops herself at home.,Lo figured the math problem.,Lo had the best costume in the play.,2
69490a80-2168-459d-8081-c427fad01c74,We became good friends.,We later decided to start a small band.,"Later, my manager told me he didn't like the beatles.",1
35db21bf-01e3-4eb3-a3ec-98869fe34242,His team won!,Tyler got depressed.,Tyler was elated!,2
15946f27-9852-4e00-a6cf-f0f8d1e6c471,"Finally, Flora had to call for a dentist appointment.",She was excited because she loved going to the dentist.,The dentist was able to make her tooth feel better.,2
56fa9b11-6e0a-4f67-ac67-30e4ff40dcb1,Derek got a library card!,Derek never read again.,Derek now read all the time.,2
965b65fb-69f9-44dc-9d7a-abf73c77c5ab,"None of us bought anything, and we talked for hours.",The bar asked me and my friends to leave after a while.,After that we all decided to go to a restaurant.,1
cb29c4b6-9cf2-4899-a296-9c2bf1100da6,She smiled but didn't seem interested.,I left her alone but kept sneaking little glances.,I bought her a dress that afternoon.,1
a6ef24b0-8d15-442c-905b-9952779c27a1,It tells him work is cancelled because it's snowing.,Pat got in his car and drove to work.,Pat felt silly for pretending to be sick.,2
bfb3cf0c-3cce-4b1f-b953-ebccf25217f6,He watched from the sidewalk as a man rode away with his bike.,Greg filed a police report and they eventually caught the thief.,Greg judged the chili cook-off competition.,1
701cea8d-4be7-4533-a5ae-2558ea63dd4d,He packs up a tent and goes camping for a long weekend.,"He had a miserable weekend, but told his girlfriend it was great.",Johnson was an avid outdoorsman and hiked often.,1
2a5347ad-a91c-42c3-86a2-b8e3edcdb4b0,It contained hundreds of dollars and Pete really wanted a new TV.,Pete kept the wallet and donated the money to charity.,"So, Pete kept the wallet and bought a new TV with the money.",2
31787fb8-6f36-40f6-88f3-f588c5cb28e2,Sally looked at herself in a different way.,Sally thought her sister was cruel.,Sally felt better.,2
fdbceae0-770a-4d16-8890-75362a17e25f,"Thankfully, there was no fracture.",My son died and we buried him in the graveyard.,He has a scar from the stitches.,2
be83c2be-8761-4cce-8c56-dc027929393f,In a last effort she gives her a teething biscuit.,Lorelei calmed down after getting the teething biscuit.,Lorelei chose to get flowers.,1
5ac09084-6bac-4761-b8d8-adf3b7912dab,They chased after me in an angry fashion.,The ducks liked me a lot.,I ran away from the ducks.,2
9f6a24c6-f00b-47c7-ac5f-5ca91130ff98,He used it a few times and then forgot about it.,He used his selfie stick everyday after that.,Eventually he threw it away.,2
51f11eec-b9eb-4bae-acd7-03886c91675e,All the people but Lewis ran back towards the cave's entrance.,Lewis started to dance.,Lewis laughed and told them not be afraid of the bats.,2
81e69e5d-2cb1-4059-b497-b43577392a99,Sara picked her favorite and they brought it to the counter.,Sara made the purchase enthusiastically.,Sara decided to buy a Viola instead.,1
ca70b26c-2edb-474f-8b2e-6f3f00905fb0,When he woke up Friday morning almost a foot of snow had fallen!,Bill started to get ready for school.,Bill felt relieved.,2
bb49eaa7-a2ea-4ca8-9ca9-838bfe384b4e,As the days went by her cooking began to slowly get better.,Martha became an expert seamstress after a while.,"After a while, everything Martha cooked was delicious.",2
a643c405-45ac-4245-a3d3-66208ac077f9,"He got very sick, out of nowhere.",Both cats were very healthy.,I took him to the vet to treat him and he got better.,2
aec3209e-fac7-406f-a129-7c2b41c20fe2,So they hired a professional carpet cleaner.,It ended up dirtier than it was before.,The carpet looked almost new after it was cleaned.,2
851b28b1-31d3-4f81-9414-1760f328f07a,The hot cocoa tasted boring.,Being healthy isn't always fun.,She loved the donut she was eating.,1
c19ec643-99c6-4a27-bb9d-689ff5d5a036,She ordered herself a dozen hot wings.,Anna ate all the wings as she drove home.,Anna was happy with her meal of lasagna.,1
